,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
23071,20535600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,94.2,56.0,16.1,3,24,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Щукино
29811,22458380,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,84.43,51.1,6.0,3,32,1.0,0.0,Нет,подземная,3.0,Монолитный,3.0,1.0,,7 мин. пешком,ЦАО,район Пресненский
18578,19643120,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,100.22,60.3,13.1,10,25,1.0,0.0,Нет,подземная,4.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Щукино
25799,8756284,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.0,16.9,11.6,21,22,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.0,0.0,Во двор,2 мин. на транспорте,САО,район Дмитровский
17183,6708000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.5,27.0,22.3,3,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.8,2.0,На улицу,3 мин. пешком,Котельники,Опытное поле мкр
15034,12554500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.6,66.5,13.1,10,22,1.0,0.0,Нет,подземная,4.0,Монолитный,,0.0,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
27599,24019500,"Свободная продажа, Возможна ипотека",Новостройка,71.7,30.9,20.0,23,24,1.0,1.0,Нет,подземная,2.0,Монолитный,4.0,1.0,Во двор,5 мин. пешком,САО,район Хорошевский
19116,13249157,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.8,39.1,13.0,19,23,2.0,1.0,Нет,подземная,3.0,Монолитный,3.0,1.0,,8 мин. пешком,ЮВАО,район Рязанский
8723,8427080,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,92.2,42.5,22.5,24,25,1.0,2.0,Нет,Неизвестно,3.0,Панельный,2.65,0.0,На улицу и двор,2 мин. на транспорте,Котельники,Белая Дача мкр
37156,6330500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.0,23.2,16.5,18,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,4 мин. на транспорте,Красногорск городской округ,д. Путилково
28050,21436360,"Свободная продажа, Возможна ипотека",Новостройка,86.0,34.1,12.8,4,19,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,На улицу и двор,7 мин. пешком,САО,район Беговой
16304,6086220,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.2,23.2,21.9,14,15,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.75,2.0,На улицу,20 мин. на транспорте,Одинцово,Одинцово
3555,9237460,"Свободная продажа, Возможна ипотека",Новостройка,53.8,16.2,23.8,12,17,1.0,4.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,10 мин. пешком,СВАО,район Северное Медведково
37082,25117500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.5,52.0,16.8,8,41,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,,1.0,На улицу,6 мин. пешком,ЗАО,район Филевский парк
28118,28300580,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,103.4,44.3,29.5,6,14,2.0,2.0,Нет,подземная,3.0,Монолитный,3.23,1.0,Во двор,15 мин. пешком,ЗАО,район Раменки
9144,10200000,", Возможна ипотека",Новостройка,73.0,47.1,9.5,17,24,1.0,0.0,Нет,,3.0,Монолитно-кирпичный,,1.0,,24 мин. пешком,ЮВАО,район Марьино
25229,5205100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.0,25.0,13.7,7,8,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,8 мин. на транспорте,Ленинский городской округ,пос. Совхоза имени Ленина
6827,9213976,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.4,30.0,19.1,2,9,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,6 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
16671,21817380,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.0,,,12,12,1.0,1.0,Нет,подземная,3.0,Монолитный,3.2,,,5 мин. на транспорте,ЮВАО,район Лефортово
35890,3320965,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.77,23.7,3.5,8,24,1.0,0.0,Нет,Наземная,2.0,Монолитный,,0.0,,23 мин. на транспорте,Одинцово,Западная улица
12579,3150000,"Свободная продажа, Возможна ипотека",Новостройка,47.7,18.7,13.0,6,17,2.0,1.0,Нет,,1.0,Монолитный,,1.0,Во двор,,Щелково,микрорайон Щелково-3
16323,5902400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.4,20.8,20.0,1,15,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.75,2.0,На улицу,20 мин. на транспорте,Одинцово,Одинцово
